RED_ID,ethnicity,race,some.high.school,high.school,some.college,technical.or.aa,college,some.graduate.school,post.grad.degree,income
RED_CAT_164,Not Hispanic or Latino,White or Caucasian,,,,,"You,Other Parent",,,"more than $75,000 per year"
RED_CAT_209,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_212,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_213,Not Hispanic or Latino,"Black or African American,White or Caucasian",,,Other Parent,,,,You,"more than $75,000 per year"
RED_CAT_216,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_217,Not Hispanic or Latino,"Asian,White or Caucasian",,,,,,,"You,Other Parent","$35, 000-$45, 000 per year"
RED_CAT_218,Not Hispanic or Latino,White or Caucasian,,,,,You,Other Parent,,"more than $75,000 per year"
RED_CAT_219,Not Hispanic or Latino,White or Caucasian,,,,"You,Other Parent",,,,"$35, 000-$45, 000 per year"
RED_CAT_120,,,,,,,,,,
RED_CAT_220,Not Hispanic or Latino,White or Caucasian,,,,,,"You,Other Parent",,"more than $75,000 per year"
RED_CAT_221,Not Hispanic or Latino,White or Caucasian,,,,,Other Parent,You,,"more than $75,000 per year"
RED_CAT_224,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_225 ,Not Hispanic or Latino,White or Caucasian,,,Other Parent,,You,,,"more than $75,000 per year"
RED_CAT_226,Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_227,Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_228,Not Hispanic or Latino,White or Caucasian,"You,Other Parent","You,Other Parent","You,Other Parent",,"You,Other Parent",,,"more than $75,000 per year"
RED_CAT_242,Not Hispanic or Latino,White or Caucasian,,,,,You,,Other Parent,"more than $75,000 per year"
RED_CAT_163,Not Hispanic or Latino,White or Caucasian,,,,,"You,Other Parent",,,"more than $75,000 per year"
RED_CAT_165,Not Hispanic or Latino,White or Caucasian,,,,Other Parent,You,,,"more than $75,000 per year"
RED_CAT_136,Not Hispanic or Latino,Black or African American,,,Other Parent,,You,,,"$55, 000-$65, 000 per year"
RED_CAT_231,Not Hispanic or Latino,Black or African American,,,Other Parent,,,You,,"less than $15,000 per year"
RED_CAT_169,Not Hispanic or Latino,Black or African American,,,,,,Other Parent,You,"more than $75,000 per year"
RED_CAT_168,Hispanic or Latino,"Black or African American,Asian",,Other Parent,,,,You,,"more than $75,000 per year"
RED_CAT_167,Hispanic or Latino,White or Caucasian,,,,,Other Parent,You,,"$55, 000-$65, 000 per year"
RED_CAT_241,Not Hispanic or Latino,Asian,,,Other Parent,,You,,,"more than $75,000 per year"
RED_CAT_166,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_170,Not Hispanic or Latino,Black or African American,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_224,,,,,,,,,,
RED_CAT_248,Not Hispanic or Latino,White or Caucasian,,,,,You,,Other Parent,"more than $75,000 per year"
RED_CAT_171,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_224,Not Hispanic or Latino,White or Caucasian,,,,,,,,
RED_CAT_174,Not Hispanic or Latino,Black or African American,,Other Parent,You,,,,,"$65, 000-$75, 000 per year"
RED_CAT_212,Not Hispanic or Latino,White or Caucasian,,,,,,,,
RED_CAT_236,Not Hispanic or Latino,White or Caucasian,,,,,,,,
RED_CAT_173,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent",
RED_CAT_153,,,,,,,,,,
RED_CAT_239,Not Hispanic or Latino,"Black or African American,White or Caucasian",,Other Parent,You,,,,,"$45, 000-$55, 000 per year"
RED_CAT_158,Not Hispanic or Latino,Black or African American,,,You,,,,Other Parent,"more than $75,000 per year"
RED_CAT_252,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_251,Not Hispanic or Latino,White or Caucasian,,,,You,Other Parent,,,"$65, 000-$75, 000 per year"
RED_CAT_253,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_256,Not Hispanic or Latino,White or Caucasian,,,,,,Other Parent,You,"more than $75,000 per year"
RED_CAT_250,Not Hispanic or Latino,White or Caucasian,,,,,You,,Other Parent,"less than $15,000 per year"
RED_CAT_255,Not Hispanic or Latino,White or Caucasian,,,,,You,,Other Parent,"more than $75,000 per year"
RED_CAT_258,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_257,Hispanic or Latino,White or Caucasian,,,You,,Other Parent,,,"more than $75,000 per year"
RED_CAT_262,Not Hispanic or Latino,"Black or African American,White or Caucasian",,,Other Parent,,,,You,"more than $75,000 per year"
RED_CAT_242,,,,,,,,,,
RED_CAT_240,Not Hispanic or Latino,"Asian,White or Caucasian",,,You,,Other Parent,,,"$55, 000-$65, 000 per year"
RED_CAT_265,Not Hispanic or Latino,White or Caucasian,,Other Parent,,,You,You,,"$65, 000-$75, 000 per year"
RED_CAT_266,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_263,Not Hispanic or Latino,"Native Hawaiian or Pacific Islander,White or Caucasian",,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_243,Not Hispanic or Latino,White or Caucasian,,,You,,,,Other Parent,"more than $75,000 per year"
RED_CAT_167,Hispanic or Latino,White or Caucasian,,,,,"You,Other Parent",Other Parent,,"$45, 000-$55, 000 per year"
RED_CAT_175,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_176,Hispanic or Latino,White or Caucasian,,,You,,Other Parent,,,"more than $75,000 per year"
RED_CAT_268,Not Hispanic or Latino,White or Caucasian,,,,,You,Other Parent,,"more than $75,000 per year"
RED_CAT_221,Not Hispanic or Latino,White or Caucasian,,,,,,,,
RED_CAT_270,Not Hispanic or Latino,White or Caucasian,,,,Other Parent,,,You,"more than $75,000 per year"
RED_CAT_177,Not Hispanic or Latino,Black or African American,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_246,Not Hispanic or Latino,Black or African American,,Other Parent,,,,,You,"more than $75,000 per year"
RED_CAT_245,Does not wish to disclose,Does not wish to disclose,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_247,Hispanic or Latino,Asian,,,,You,,,Other Parent,"more than $75,000 per year"
RED_CAT_182,Hispanic or Latino,"Black or African American,Asian,White or Caucasian",,,,,You,,Other Parent,"more than $75,000 per year"
RED_CAT_274,Not Hispanic or Latino,White or Caucasian,,,Other Parent,,,,You,"$55, 000-$65, 000 per year"
RED_CAT_181,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_249,Not Hispanic or Latino,Black or African American,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_186,Not Hispanic or Latino,White or Caucasian,,,,,,You,Other Parent,"more than $75,000 per year"
RED_CAT_184,Not Hispanic or Latino,White or Caucasian,,,,,,"You,Other Parent",,"more than $75,000 per year"
RED_CAT_187,Not Hispanic or Latino,Black or African American,,,"You,Other Parent","You,Other Parent",,,,"$55, 000-$65, 000 per year"
RED_CAT_188,Not Hispanic or Latino,Black or African American,,,,You,,,Other Parent,
RED_CAT_189,Not Hispanic or Latino,Black or African American,,,You,,Other Parent,,,"more than $75,000 per year"
RED_CAT_275,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_190,Not Hispanic or Latino,White or Caucasian,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_277,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_272,Not Hispanic or Latino,White or Caucasian,,,,Other Parent,You,,,"more than $75,000 per year"
RED_CAT_259,,,,,,,,,,
RED_CAT_269,Not Hispanic or Latino,White or Caucasian,,,,,,,,
RED_CAT_264,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_271,,,,,,,,,,
RED_CAT_261,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_273,Hispanic or Latino,American Indian or Alaskan Native,,,,,,,,
RED_CAT_279,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_191,Not Hispanic or Latino,White or Caucasian,,,,,"You,Other Parent",,,"more than $75,000 per year"
RED_CAT_281,Not Hispanic or Latino,"Asian,White or Caucasian",,,,,"You,Other Parent",Other Parent,,"more than $75,000 per year"
RED_CAT_178,,,,,,,,,,
RED_CAT_192,Hispanic or Latino,"American Indian or Alaskan Native,Black or African American",You,,Other Parent,,,,,"$35, 000-$45, 000 per year"
RED_CAT_282,Not Hispanic or Latino,White or Caucasian,,,,,Other Parent,,You,"more than $75,000 per year"
RED_CAT_285,Not Hispanic or Latino,White or Caucasian,,,Other Parent,,You,,,"more than $75,000 per year"
RED_CAT_286,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_179,Not Hispanic or Latino,White or Caucasian,,,,,,,"You,Other Parent","more than $75,000 per year"
RED_CAT_280,Not Hispanic or Latino,Asian,,,,,,,,
RED_CAT_287,Not Hispanic or Latino,White or Caucasian,,,Other Parent,,You,,,"$35, 000-$45, 000 per year"
